RT @OhElWang: @MsEsmira28 😅 я ж умею поддерживать, видно, да? 😘 жду этого момента, глупышка				1sg
Я не умею танцевать и пою я плохо Мне так-то похуй				1sg
@MsEsmira28 😅 я ж умею поддерживать, видно, да? 😘 жду этого момента, глупышка				1sg
Не умею любить!!!!Что делать?				1sg
Настя :Оставь учёбу позади и живи и радуйся тому что есть Карина и Я : 😂😂😂😂 Настя : Я тоже умею сочинять бред				1sg
я не умею успокаивать людей @baadrtdinoff https://t.co/1qc7tXyUxm				1sg
@Pers0naGrata не умею врать, и совесть загрызёт - мама совсем одна				1sg
Стихи писать я не умею,но мысли излогать могу, Я просто от тебя балдею,И не во сне, а наяву!!! #TEAMFOLLOWBACK				1sg
RT @inani_ty: порезаться бумагой могу, умею, блятькакжесукабольнооо				1sg
@hate_dope тебя? Куда, простите? Типо, создать героиню, похожую на тебя? Ето я умею... Предложи что-нибудь с  сюжетом.				1sg
Крч мама заболела  Выходит тройка Нихуя не умею играть в футбол а В пон на матч  Я болею немного Мама Начала подозр… https://t.co/guzL5HC8B6				1sg
Магнус. Я не...я не очень хорошо умею извинятся.   #shadowhunters #malec https://t.co/7zMPLfMr8F				1sg
RT @littlepill69: Ребят, а прикиньте, я свинья, я не умею ухаживать за собой, мне похуй на всё, не умею ваще следить за собой и ваще я мраз…				1sg
RT @HistoryFoto: «Я не умею быть второй. И даже первой не умею. Только единственной» Галина Волчек. Сегодня у нее день рождения. https://t.…				1sg
RT @littlepill69: Ребят, а прикиньте, я свинья, я не умею ухаживать за собой, мне похуй на всё, не умею ваще следить за собой и ваще я мраз…				1sg
Советы от Брюса Ли. 1. Я уверен только в одном: я не умею петь.				1sg
Ребят, а прикиньте, я свинья, я не умею ухаживать за собой, мне похуй на всё, не умею ваще следить за собой и ваще я мразота.				1sg
Вот вообще не хочу. Но не умею говорить "нет". Надеюсь, все нормально будет				1sg
Не умею делать скрины, поэтому так: подарите... хуй тебе!				1sg
Советы от Брюса Ли. 1. Я уверен только в одном: я не умею петь.				1sg
Умею вовремя ответить https://t.co/RbjqrudH43				1sg
Советы от Брюса Ли. 1. Я уверен только в одном: я не умею петь.				1sg
Мы лазили по канату, подходит к однокле и говорит ну че, иди, она такая, ну я не умею, я толстая				1sg
Я не конфликтный человек. Но когда себя мерзко ведут... Видимо, я умею хоть немного голос повышать.				1sg
@Simpson327 как тихо то блять, если я не умею				1sg
Умею, люблю 🍱 https://t.co/23iTDPAMQW				1sg
@chesh_1 знаю :з НО ПРОСТО Я НЕ УМЕЮ УЧИТЬСЯ))0				1sg
Советы от Брюса Ли. 1. Я уверен только в одном: я не умею петь.				1sg
Советы от Брюса Ли. 1. Я уверен только в одном: я не умею петь.				1sg
очень жалею, что не умею писать двумя руками				1sg
@before_perfect я не умею так				1sg
RT @lerstyaisreal: @foray__ с днём рождения💕не умри(не умею поздравлять простите)				1sg
RT @JERSTON132: Получаться как бог, когда на экскурсиях внезапно фотографируют мамки дноклассников? Люблю, умею, практикую https://t.co/EWv…				1sg
Я не умею вовремя заткнуться))))0))) https://t.co/FSsaThjJJd				1sg
RT @IllusionMones: Что-то порнографическое могу только читать, и представлять Ну, пикчи тож ничего Но что бы так конкретно порнуху зырить..…				1sg
RT @HistoryFoto: «Я не умею быть второй. И даже первой не умею. Только единственной» Галина Волчек. Сегодня у нее день рождения. https://t.…				1sg
Что делать,если я ничего классного не умею?				1sg
Что-то порнографическое могу только читать, и представлять Ну, пикчи тож ничего Но что бы так конкретно порнуху зырить.. Сорри, не умею				1sg
@foray__ с днём рождения💕не умри(не умею поздравлять простите)				1sg
айщ не умею поддерживать убейте меня				1sg
факт обо мне: я не умею нормально печатать				1sg
на 18-й странице проды к абандонед впадаю в традиционную апатию типа "я не умею писать"				1sg
@PiDy_twt это да, но я так не умею)				1sg
итог двухнедельной практики: я умею вежливо улыбаться и говорить morgen даже в 7 утра. на этом всё				1sg
@julia_korbyt я умею 😨😨				1sg
Не умею печь блины...научите?)))				1sg
Я очень хочу чтобы некоторые люди увидели дуэт полностью но я ж сто про всех заебал только умею что выебываться и ленту засорять				1sg
@_Dancing_Bunny_ я кататься не умею, да и времени особо нет, если честно)				1sg
Мадс Миккельсен: "Я не умею достойно проигрывать" https://t.co/qKhWYMkTEP https://t.co/z16BGHjF6J				1sg
Я НЕ УМЕЮ СЧИТАТЬ				1sg
Нет, не умею. И, если честно, не возникает особого желания научиться - просто-напросто отсутствует интерес к кулина… https://t.co/j31Z9TwqxD				1sg
Как болеть, но не подавать никому виду..могу, умею , практикую😩				1sg
Напиться в стельку после того, как заявила о жутком похмелье у демонов? Могу, умею, практикую. А виски в "доме у дороги" хороший...				1sg
я настолько не умею ждать, что я пыталась 2 остановки пройти быстрее автобуса! автобуса, Карл.				1sg
@colliincee я не умею их писать и я не знаю как и я тупая прост:))				1sg
Мадс Миккельсен: "Я не умею достойно проигрывать" https://t.co/ltoxmm7rg8 https://t.co/XnyhAJdah5				1sg
Хотя ничего нового. Всегда делаю всё в последний момент, по-другому не умею				1sg
переводить с латиницы на кириллицу Be Quiet, потому что нигде этого нет, могу, умею, практикую				1sg
я не умею их писать :D https://t.co/ULJpRCg90c				1sg
RT @lana55571: "Я ВАТНИК и меня не изменить...И я умею Родину любить..." https://t.co/fN8fdZ6LDG				1sg
RT @lana55571: "Я ВАТНИК и меня не изменить...И я умею Родину любить..." https://t.co/fN8fdZ6LDG				1sg
А почему, я как и Вы летать не умею?!				1sg
Ищу работу принцессой... Умею командовать и хныкать)				1sg
Да всё я умею делать сама.  Только вот мужчине об этом знать не нужно.				1sg
тебя и кароче я не умею такое говорить но думаю, что ты многим важна и в общем не уходи. вот				1sg
Ну, я умею готовить хдд https://t.co/Ue0ylg6LY0				1sg
RT @lana55571: "Я ВАТНИК и меня не изменить...И я умею Родину любить..." https://t.co/fN8fdZ6LDG				1sg
Я умею нервы жечь до тлаааа, спорим Придержи все свои бла бла блаааааа, ну кто тебе сказаааал👅				1sg
@_WinDRaiN_  Я не умею улыбаться с зубами , они у меня идеально ровные - но писец какие жёлтые 👌👌 Так что те повезло				1sg
Я умею держать ровно спину, И давно уж не верю словам: "Я тебя никогда не... https://t.co/Cprqe5A2QS				1sg
@Brown_Eyed_Alph я просто святоша,да ещё к тому же не умею веселиться *смотрю на тебя и в моих глазах так и плещет невинность*				1sg
Гспд. Я умею быть милой.^^ #gensei #gensei_studio #gensei_art #cosplay #russiancosplay… https://t.co/TcxPlxERJk				1sg
От «Хм, надо парня себе найти» до «Да ну нахер это дерьмо» за 1 секунду. Могу, умею, практикую. 😐				1sg
RT @lovernis__: почему я не умею составлять такие конспекты? https://t.co/eCGtmzfjxI				1sg
